Peptide,condition,lfc
ANXA1_209_221,Pos15m_PosCTL,0.5285831632070664
ANXA1_209_221,Pos1h_PosCTL,0.28004819590736957
ANXA1_209_221,Pos24h_PosCTL,-0.07489538706446316
ANXA1_209_221,Pos30m_PosCTL,0.617093914431608
ANXA1_209_221,Pos4h_PosCTL,0.4455914599987934
ANXA1_209_221,Pos5m_PosCTL,0.459908358625533
ARHG2_166_178,Neg15m_NegCTL,0.375709558634985
ARHG2_166_178,Neg1h_NegCTL,-0.01640583590818809
ARHG2_166_178,Neg24h_NegCTL,0.12275868990213616
ARHG2_166_178,Neg30m_NegCTL,-0.0759175047105328
ARHG2_166_178,Neg4h_NegCTL,0.03350725524370753
ARHG2_166_178,Neg5m_NegCTL,0.26412103786547164
ARHG2_166_178,Pos15m_PosCTL,0.1015967518982297
ARHG2_166_178,Pos1h_PosCTL,0.3045595128967517
ARHG2_166_178,Pos24h_PosCTL,0.3758708149491037
ARHG2_166_178,Pos30m_PosCTL,0.06290902711077588
ARHG2_166_178,Pos4h_PosCTL,0.49244895094081154
ARHG2_166_178,Pos5m_PosCTL,-0.00635904304913351
BAD_112_124,Neg15m_NegCTL,0.2743434813161354
BAD_112_124,Neg1h_NegCTL,0.3644320778812092
BAD_112_124,Neg24h_NegCTL,0.14854051952786868
BAD_112_124,Neg30m_NegCTL,0.26441433902424577
BAD_112_124,Neg4h_NegCTL,0.2165535041421049
BAD_112_124,Neg5m_NegCTL,-0.08303403923055766
BAD_112_124,Pos15m_PosCTL,1.128370797329561
BAD_112_124,Pos1h_PosCTL,0.6223472560446313
BAD_112_124,Pos24h_PosCTL,0.00186152534004719
BAD_112_124,Pos30m_PosCTL,0.9585295553381178
BAD_112_124,Pos4h_PosCTL,0.8008922567049348
BAD_112_124,Pos5m_PosCTL,0.9860094080032336
BAD_69_81,Neg15m_NegCTL,0.08430674884722222
BAD_69_81,Neg1h_NegCTL,-0.06171417225859758
BAD_69_81,Neg24h_NegCTL,-0.16705821657101289
BAD_69_81,Neg30m_NegCTL,-0.04531590242523098
BAD_69_81,Neg4h_NegCTL,-0.2507049490632364
BAD_69_81,Neg5m_NegCTL,0.12818997109139593
BAD_69_81,Pos15m_PosCTL,0.4267624414484275
BAD_69_81,Pos1h_PosCTL,0.1401959928798527
BAD_69_81,Pos24h_PosCTL,0.00965633943463887
BAD_69_81,Pos30m_PosCTL,0.4176968951171611
BAD_69_81,Pos4h_PosCTL,0.13569511265041417
BAD_69_81,Pos5m_PosCTL,0.4072845940953173
BAD_93_105,Neg15m_NegCTL,-1.2566245411231117e-4
BAD_93_105,Neg1h_NegCTL,-0.11532268174665848
BAD_93_105,Neg24h_NegCTL,-0.02274082502375694
BAD_93_105,Neg30m_NegCTL,-0.05840799511696026
BAD_93_105,Neg4h_NegCTL,-0.03523430110626642
BAD_93_105,Neg5m_NegCTL,0.2799235536432058
BAD_93_105,Pos15m_PosCTL,0.20362997691800128
BAD_93_105,Pos1h_PosCTL,-0.05168833002080308
BAD_93_105,Pos24h_PosCTL,0.20247207003520984
BAD_93_105,Pos30m_PosCTL,0.22063981792997972
BAD_93_105,Pos4h_PosCTL,0.05588629154744613
BAD_93_105,Pos5m_PosCTL,0.19687087871757775
BCKD_45_57,Neg15m_NegCTL,0.1351270072894657
BCKD_45_57,Neg1h_NegCTL,-0.09110407518122
BCKD_45_57,Neg24h_NegCTL,0.03742785618462698
BCKD_45_57,Neg30m_NegCTL,-0.2286926585991512
BCKD_45_57,Neg4h_NegCTL,-0.03877511172333688
BCKD_45_57,Neg5m_NegCTL,0.22353692597518
BCKD_45_57,Pos15m_PosCTL,0.11120564780761466
BCKD_45_57,Pos1h_PosCTL,-0.04252558526610113
BCKD_45_57,Pos24h_PosCTL,-0.01615773760876197
BCKD_45_57,Pos30m_PosCTL,0.1971063590415956
BCKD_45_57,Pos4h_PosCTL,-0.00703057722073048
BCKD_45_57,Pos5m_PosCTL,0.12182637897067217
BUB1_207_219,Neg15m_NegCTL,0.06695264219893104
BUB1_207_219,Neg1h_NegCTL,-0.17481115575925504
BUB1_207_219,Neg24h_NegCTL,-0.048450590552901573
BUB1_207_219,Neg30m_NegCTL,-0.2100884938488698
BUB1_207_219,Neg4h_NegCTL,-0.15385509653467633
BUB1_207_219,Neg5m_NegCTL,0.02163779446607498
BUB1_207_219,Pos15m_PosCTL,0.01890459137348532
BUB1_207_219,Pos1h_PosCTL,-0.02466415304274102
BUB1_207_219,Pos24h_PosCTL,-0.01028971442055818
BUB1_207_219,Pos30m_PosCTL,0.1543478398868115
BUB1_207_219,Pos4h_PosCTL,-0.01347899615545895
BUB1_207_219,Pos5m_PosCTL,0.04529770049439285
C1R_201_213,Neg15m_NegCTL,-0.3085830780591179
C1R_201_213,Neg30m_NegCTL,-0.34778588801435806
C1R_201_213,Neg5m_NegCTL,-0.33440926732059084
C1R_201_213,Pos15m_PosCTL,-0.0882339378711093
C1R_201_213,Pos1h_PosCTL,0.1931429941781591
C1R_201_213,Pos24h_PosCTL,0.08381800460677091
C1R_201_213,Pos30m_PosCTL,0.21047729546759028
C1R_201_213,Pos4h_PosCTL,-0.05853683767828391
C1R_201_213,Pos5m_PosCTL,0.12221471904296756
CAC1C_1974_1986,Neg15m_NegCTL,0.3130232539570219
CAC1C_1974_1986,Neg1h_NegCTL,0.6137368471172797
CAC1C_1974_1986,Neg24h_NegCTL,-0.04409819130209917
CAC1C_1974_1986,Neg30m_NegCTL,0.523472103813163
CAC1C_1974_1986,Neg4h_NegCTL,0.4057131062407319
CAC1C_1974_1986,Neg5m_NegCTL,-0.16526333353682995
CAC1C_1974_1986,Pos15m_PosCTL,1.1145463348709324
CAC1C_1974_1986,Pos1h_PosCTL,0.5138448873063025
CAC1C_1974_1986,Pos24h_PosCTL,-0.03034511944150549
CAC1C_1974_1986,Pos30m_PosCTL,0.970255193380524
CAC1C_1974_1986,Pos4h_PosCTL,0.6092122046082048
CAC1C_1974_1986,Pos5m_PosCTL,1.0036821875332065
CCR5_330_342,Neg15m_NegCTL,0.39465045868576826
CCR5_330_342,Neg1h_NegCTL,0.09338959346021893
CCR5_330_342,Neg24h_NegCTL,0.2945616299314275
CCR5_330_342,Neg30m_NegCTL,-0.01872363303530438
CCR5_330_342,Neg4h_NegCTL,0.10953923411125968
CCR5_330_342,Neg5m_NegCTL,0.3806911973726483
CCR5_330_342,Pos15m_PosCTL,0.03568223158570009
CCR5_330_342,Pos1h_PosCTL,-0.08359088796768314
CCR5_330_342,Pos24h_PosCTL,-0.09475724407050824
CCR5_330_342,Pos30m_PosCTL,0.04656512010701933
CCR5_330_342,Pos4h_PosCTL,-0.22598258299094248
CCR5_330_342,Pos5m_PosCTL,0.03233108128228323
CD27_212_224,Neg15m_NegCTL,0.19590302823198957
CD27_212_224,Neg1h_NegCTL,-0.16669197887606688
CD27_212_224,Neg24h_NegCTL,-0.04223304659451769
CD27_212_224,Neg30m_NegCTL,-0.02052494220999919
CD27_212_224,Neg4h_NegCTL,-0.06525150045176531
CD27_212_224,Neg5m_NegCTL,0.15534968750554218
CD27_212_224,Pos15m_PosCTL,0.21889259696994873
CD27_212_224,Pos1h_PosCTL,0.2676233249226139
CD27_212_224,Pos24h_PosCTL,0.16167717942748006
CD27_212_224,Pos30m_PosCTL,0.1579244026807028
CD27_212_224,Pos4h_PosCTL,0.1811838662271956
CD27_212_224,Pos5m_PosCTL,0.11544029862842256
CDC2_154_169,Neg15m_NegCTL,0.10556923734073348
CDC2_154_169,Neg1h_NegCTL,0.00648402292955937
CDC2_154_169,Neg24h_NegCTL,-0.240878095721226
CDC2_154_169,Neg30m_NegCTL,-0.06683093924064003
CDC2_154_169,Neg4h_NegCTL,-0.07579873731504114
CDC2_154_169,Neg5m_NegCTL,-0.12256794755316196
CDC2_154_169,Pos15m_PosCTL,0.14134920567396164
CDC2_154_169,Pos1h_PosCTL,-0.18485925201033945
CDC2_154_169,Pos24h_PosCTL,-0.2224669817567732
CDC2_154_169,Pos30m_PosCTL,0.1659263547018135
CDC2_154_169,Pos4h_PosCTL,-0.15033372973205
CDC2_154_169,Pos5m_PosCTL,0.12462715329629148
CDK7_163_175,Neg15m_NegCTL,0.20674177613788527
CDK7_163_175,Neg1h_NegCTL,-0.05708637447965614
CDK7_163_175,Neg24h_NegCTL,0.06493470535496085
CDK7_163_175,Neg30m_NegCTL,-0.20646716797395495
CDK7_163_175,Neg4h_NegCTL,-0.00121789993399268
CDK7_163_175,Neg5m_NegCTL,0.15176255786201054
CDK7_163_175,Pos15m_PosCTL,0.20915332955508423
CDK7_163_175,Pos1h_PosCTL,-0.03489100385630668
CDK7_163_175,Pos24h_PosCTL,-0.1326740403851471
CDK7_163_175,Pos30m_PosCTL,0.2627696919937176
CDK7_163_175,Pos4h_PosCTL,-0.04691201452091261
CDK7_163_175,Pos5m_PosCTL,0.13050011765146033
CDN1A_139_151,Neg15m_NegCTL,0.2934269301207835
CDN1A_139_151,Neg1h_NegCTL,0.2524613174526215
CDN1A_139_151,Neg24h_NegCTL,0.02401099267822282
CDN1A_139_151,Neg30m_NegCTL,0.32140831793210783
CDN1A_139_151,Neg4h_NegCTL,0.16496463566532724
CDN1A_139_151,Neg5m_NegCTL,0.09289024042568944
CENPA_1_14,Neg15m_NegCTL,0.29890332376820944
CENPA_1_14,Neg1h_NegCTL,0.02430025387713316
CENPA_1_14,Neg24h_NegCTL,0.08433670874332695
CENPA_1_14,Neg30m_NegCTL,0.10643507291987132
CENPA_1_14,Neg4h_NegCTL,0.03404654201166727
CENPA_1_14,Neg5m_NegCTL,0.23290355416780736
CENPA_1_14,Pos15m_PosCTL,0.20215907207568343
CENPA_1_14,Pos1h_PosCTL,0.02234334011471173
CENPA_1_14,Pos24h_PosCTL,0.20680086571431508
CENPA_1_14,Pos30m_PosCTL,0.13560177113008215
CENPA_1_14,Pos4h_PosCTL,0.17896993712879272
CENPA_1_14,Pos5m_PosCTL,0.11642723525628244
CFTR_730_742,Neg15m_NegCTL,0.7863880751275097
CFTR_730_742,Neg1h_NegCTL,0.9243249736719816
CFTR_730_742,Neg24h_NegCTL,-0.05915225564898859
CFTR_730_742,Neg30m_NegCTL,0.9726795732732708
CFTR_730_742,Neg4h_NegCTL,0.511647861095652
CFTR_730_742,Neg5m_NegCTL,0.14699897184431315
CFTR_730_742,Pos15m_PosCTL,1.453513008719274
CFTR_730_742,Pos1h_PosCTL,0.8407929326927229
CFTR_730_742,Pos24h_PosCTL,0.04443633431025222
CFTR_730_742,Pos30m_PosCTL,1.2998652497073797
CFTR_730_742,Pos4h_PosCTL,1.0227746303676195
CFTR_730_742,Pos5m_PosCTL,1.3080531122272294
CGHB_109_121,Neg15m_NegCTL,0.04505033986113874
CGHB_109_121,Neg1h_NegCTL,0.4648311314936002
CGHB_109_121,Neg24h_NegCTL,0.09314972573574418
CGHB_109_121,Neg30m_NegCTL,0.5015960259478763
CGHB_109_121,Neg4h_NegCTL,0.22684549468162304
CGHB_109_121,Neg5m_NegCTL,-0.3222006469157745
CGHB_109_121,Pos15m_PosCTL,0.6477229055912028
CGHB_109_121,Pos1h_PosCTL,0.5060454361965494
CGHB_109_121,Pos24h_PosCTL,-0.1466427351229571
CGHB_109_121,Pos30m_PosCTL,0.5973016851845617
CGHB_109_121,Pos4h_PosCTL,0.410031206756132
CGHB_109_121,Pos5m_PosCTL,0.5830950876193534
CO4A3_1429_1441,Neg15m_NegCTL,0.13973661767379458
CO4A3_1429_1441,Neg1h_NegCTL,-0.09495049229366705
CO4A3_1429_1441,Neg24h_NegCTL,-0.121643347292362
CO4A3_1429_1441,Neg30m_NegCTL,-0.20706536138443027
CO4A3_1429_1441,Neg4h_NegCTL,-0.20557087179188588
CO4A3_1429_1441,Neg5m_NegCTL,0.11793959727810174
CO4A3_1429_1441,Pos15m_PosCTL,0.2486191177339331
CO4A3_1429_1441,Pos1h_PosCTL,-0.10437781277074354
CO4A3_1429_1441,Pos24h_PosCTL,-0.13457925131655885
CO4A3_1429_1441,Pos30m_PosCTL,0.16661339953940085
CO4A3_1429_1441,Pos4h_PosCTL,-0.0668124804200394
CO4A3_1429_1441,Pos5m_PosCTL,0.12617016087551747
CREB1_126_138,Neg15m_NegCTL,0.7343822246165294
CREB1_126_138,Neg1h_NegCTL,0.4383131696895036
CREB1_126_138,Neg24h_NegCTL,0.1977483770431192
CREB1_126_138,Neg30m_NegCTL,0.41083366461050846
CREB1_126_138,Neg4h_NegCTL,0.29522866708972967
CREB1_126_138,Neg5m_NegCTL,0.31718026038945507
CREB1_126_138,Pos15m_PosCTL,0.8533786770993815
CREB1_126_138,Pos1h_PosCTL,0.3954376081623845
CREB1_126_138,Pos24h_PosCTL,0.14798602178108786
CREB1_126_138,Pos30m_PosCTL,0.8148875158257655
CREB1_126_138,Pos4h_PosCTL,0.5930846444884814
CREB1_126_138,Pos5m_PosCTL,0.7793556436676136
CSF1R_701_713,Neg15m_NegCTL,0.5699325350028955
CSF1R_701_713,Neg1h_NegCTL,0.463254741709702
CSF1R_701_713,Neg24h_NegCTL,0.0944771458216452
CSF1R_701_713,Neg30m_NegCTL,0.527128592191886
CSF1R_701_713,Neg4h_NegCTL,0.338872347655179
CSF1R_701_713,Neg5m_NegCTL,0.20337655213440264
CSF1R_701_713,Pos15m_PosCTL,0.979301341990349
CSF1R_701_713,Pos1h_PosCTL,0.4797512158646781
CSF1R_701_713,Pos24h_PosCTL,0.05363947219444576
CSF1R_701_713,Pos30m_PosCTL,0.8796526266380033
CSF1R_701_713,Pos4h_PosCTL,0.6344561528923899
CSF1R_701_713,Pos5m_PosCTL,0.8552171651153238
DESP_2842_2854,Neg15m_NegCTL,0.5236528908861837
DESP_2842_2854,Neg1h_NegCTL,0.5397726460411265
DESP_2842_2854,Neg24h_NegCTL,-0.14560539303417208
DESP_2842_2854,Neg30m_NegCTL,0.5002076838065603
DESP_2842_2854,Neg4h_NegCTL,0.34316453917916656
DESP_2842_2854,Neg5m_NegCTL,0.21920366248358292
DESP_2842_2854,Pos15m_PosCTL,1.453206604068347
DESP_2842_2854,Pos1h_PosCTL,0.5841515072816682
DESP_2842_2854,Pos24h_PosCTL,-0.06605507463888274
DESP_2842_2854,Pos30m_PosCTL,1.3980447516316366
DESP_2842_2854,Pos4h_PosCTL,1.0096071825362227
DESP_2842_2854,Pos5m_PosCTL,1.208956685166335
EPB42_241_253,Neg15m_NegCTL,0.6910514851538739
EPB42_241_253,Neg1h_NegCTL,0.5123559309586782
EPB42_241_253,Neg24h_NegCTL,-0.12472035776779104
EPB42_241_253,Neg30m_NegCTL,0.6402237987690382
EPB42_241_253,Neg4h_NegCTL,0.2584573835125834
EPB42_241_253,Neg5m_NegCTL,0.3682886900644696
EPB42_241_253,Pos15m_PosCTL,1.2991594345216708
EPB42_241_253,Pos1h_PosCTL,0.5812300550215355
EPB42_241_253,Pos24h_PosCTL,0.03206041503068253
EPB42_241_253,Pos30m_PosCTL,1.168965892721454
EPB42_241_253,Pos4h_PosCTL,1.008485154745084
EPB42_241_253,Pos5m_PosCTL,1.018317733375559
ERBB2_679_691,Neg15m_NegCTL,0.08245297649060213
ERBB2_679_691,Neg1h_NegCTL,-0.03920312752739126
ERBB2_679_691,Neg24h_NegCTL,0.17914582214113456
ERBB2_679_691,Neg30m_NegCTL,-0.08056985859492134
ERBB2_679_691,Neg4h_NegCTL,0.00165614642002864
ERBB2_679_691,Neg5m_NegCTL,0.22917050601445743
ERBB2_679_691,Pos15m_PosCTL,0.11066746774728622
ERBB2_679_691,Pos1h_PosCTL,0.04489791317257168
ERBB2_679_691,Pos24h_PosCTL,0.3076713001662963
ERBB2_679_691,Pos30m_PosCTL,0.23889849031002977
ERBB2_679_691,Pos4h_PosCTL,0.01722796155520889
ERBB2_679_691,Pos5m_PosCTL,0.16918215367092415
ERF_519_531,Neg15m_NegCTL,0.24602179233063587
ERF_519_531,Neg1h_NegCTL,0.06282945261564343
ERF_519_531,Neg24h_NegCTL,0.04249450573688811
ERF_519_531,Neg30m_NegCTL,-0.05473259891160431
ERF_519_531,Neg4h_NegCTL,-0.08856530582498016
ERF_519_531,Neg5m_NegCTL,0.3285546647470647
ERF_519_531,Pos15m_PosCTL,0.2805093497175936
ERF_519_531,Pos1h_PosCTL,0.4191954841138653
ERF_519_531,Pos24h_PosCTL,-0.21002828369999835
ERF_519_531,Pos30m_PosCTL,0.37958342839185344
ERF_519_531,Pos4h_PosCTL,0.14510425550486397
ERF_519_531,Pos5m_PosCTL,0.1774803363434166
ESR1_160_172,Neg15m_NegCTL,0.4545939964245526
ESR1_160_172,Neg1h_NegCTL,0.23408196773683976
ESR1_160_172,Neg24h_NegCTL,0.04348991937797386
ESR1_160_172,Neg30m_NegCTL,0.20250924612128784
ESR1_160_172,Neg4h_NegCTL,0.17695707888924872
ESR1_160_172,Neg5m_NegCTL,0.1926622703588592
ESR1_160_172,Pos15m_PosCTL,0.5625344766310262
ESR1_160_172,Pos1h_PosCTL,0.33689460207150645
ESR1_160_172,Pos24h_PosCTL,-0.09485605030055844
ESR1_160_172,Pos30m_PosCTL,0.4706190679481222
ESR1_160_172,Pos4h_PosCTL,0.27172791010756353
ESR1_160_172,Pos5m_PosCTL,0.5733713312243905
EZH2_305_317,Neg15m_NegCTL,0.7661201090480091
EZH2_305_317,Neg1h_NegCTL,0.6202807441508588
EZH2_305_317,Neg24h_NegCTL,0.05462307962136373
EZH2_305_317,Neg30m_NegCTL,0.7079384225472601
EZH2_305_317,Neg4h_NegCTL,0.43506119358324735
EZH2_305_317,Neg5m_NegCTL,0.09897044491933588
EZH2_305_317,Pos15m_PosCTL,0.98492874381052
EZH2_305_317,Pos1h_PosCTL,0.5820155082479207
EZH2_305_317,Pos24h_PosCTL,-0.14275602418104327
EZH2_305_317,Pos30m_PosCTL,0.8963307453659471
EZH2_305_317,Pos4h_PosCTL,0.7692610491996836
EZH2_305_317,Pos5m_PosCTL,1.0446607472465734
FIBA_569_581,Neg15m_NegCTL,0.01652594652777495
FIBA_569_581,Neg1h_NegCTL,-0.12199863049625304
FIBA_569_581,Neg24h_NegCTL,-0.15668796260484924
FIBA_569_581,Neg30m_NegCTL,-0.11886451026540476
FIBA_569_581,Neg4h_NegCTL,-0.13083756982136813
FIBA_569_581,Neg5m_NegCTL,0.21965695462402124
FIBA_569_581,Pos15m_PosCTL,0.10567807719699474
FIBA_569_581,Pos1h_PosCTL,0.01285538876377974
FIBA_569_581,Pos24h_PosCTL,-0.2126886385248265
FIBA_569_581,Pos30m_PosCTL,0.19498628565464937
FIBA_569_581,Pos4h_PosCTL,0.2583076516064038
FIBA_569_581,Pos5m_PosCTL,0.17503783594315703
FOXO3_25_37,Neg15m_NegCTL,0.16507844362177335
FOXO3_25_37,Neg1h_NegCTL,-0.1674170818939403
FOXO3_25_37,Neg24h_NegCTL,-0.22671128922799227
FOXO3_25_37,Neg30m_NegCTL,0.03621257295904545
FOXO3_25_37,Neg4h_NegCTL,-0.17899757536641658
FOXO3_25_37,Neg5m_NegCTL,0.27639885592400965
FOXO3_25_37,Pos15m_PosCTL,0.09513380299821549
FOXO3_25_37,Pos1h_PosCTL,-0.11303183559337408
FOXO3_25_37,Pos24h_PosCTL,-0.07310911682417309
FOXO3_25_37,Pos30m_PosCTL,0.04314510401232911
FOXO3_25_37,Pos4h_PosCTL,-0.02286282017724576
FOXO3_25_37,Pos5m_PosCTL,0.07163909682273703
FRAP_2443_2455,Neg15m_NegCTL,0.19459787851864735
FRAP_2443_2455,Neg1h_NegCTL,0.01106967909112525
FRAP_2443_2455,Neg24h_NegCTL,0.02895419838969398
FRAP_2443_2455,Neg30m_NegCTL,0.0403804865313931
FRAP_2443_2455,Neg4h_NegCTL,0.02812007410934867
FRAP_2443_2455,Neg5m_NegCTL,0.10083696034115729
FRAP_2443_2455,Pos15m_PosCTL,0.517314515754831
FRAP_2443_2455,Pos1h_PosCTL,0.07594260934526739
FRAP_2443_2455,Pos24h_PosCTL,-0.21683799394231568
FRAP_2443_2455,Pos30m_PosCTL,0.5715263293543881
FRAP_2443_2455,Pos4h_PosCTL,0.24722353772456587
FRAP_2443_2455,Pos5m_PosCTL,0.4578240862712333
GBF1_1331_1343,Neg15m_NegCTL,0.09441678629402632
GBF1_1331_1343,Neg1h_NegCTL,-0.14732913979125567
GBF1_1331_1343,Neg24h_NegCTL,0.27222611634070343
GBF1_1331_1343,Neg30m_NegCTL,-0.03395304057349173
GBF1_1331_1343,Neg4h_NegCTL,-0.07212799914978132
GBF1_1331_1343,Neg5m_NegCTL,0.00761678027726523
GBF1_1331_1343,Pos15m_PosCTL,-0.5716969267841455
GBF1_1331_1343,Pos1h_PosCTL,-0.310724808661083
GBF1_1331_1343,Pos24h_PosCTL,-0.2776952108913511
GBF1_1331_1343,Pos30m_PosCTL,-0.6035814675133634
GBF1_1331_1343,Pos4h_PosCTL,-0.23806340226981648
GBF1_1331_1343,Pos5m_PosCTL,-0.25315835313281065
GPR6_349_361,Neg15m_NegCTL,0.32242243002872445
GPR6_349_361,Neg1h_NegCTL,-0.08681523385444123
GPR6_349_361,Neg24h_NegCTL,0.01689579505220913
GPR6_349_361,Neg30m_NegCTL,0.00177797007542176
GPR6_349_361,Neg4h_NegCTL,0.01161101820034606
GPR6_349_361,Neg5m_NegCTL,0.20064943962181037
GPR6_349_361,Pos15m_PosCTL,0.322065362322103
GPR6_349_361,Pos1h_PosCTL,0.05645040183836099
GPR6_349_361,Pos24h_PosCTL,-0.0191546226025269
GPR6_349_361,Pos30m_PosCTL,0.35459147266993407
GPR6_349_361,Pos4h_PosCTL,0.1446030870873066
GPR6_349_361,Pos5m_PosCTL,0.223600834691549
GPSM2_394_406,Neg15m_NegCTL,0.6122487879996656
GPSM2_394_406,Neg1h_NegCTL,0.5908216844504279
GPSM2_394_406,Neg24h_NegCTL,0.05133732124418966
GPSM2_394_406,Neg30m_NegCTL,0.6656902833205424
GPSM2_394_406,Neg4h_NegCTL,0.3662770898088012
GPSM2_394_406,Neg5m_NegCTL,0.23314681591478512
GPSM2_394_406,Pos15m_PosCTL,1.301085908494218
GPSM2_394_406,Pos1h_PosCTL,0.6857600035411284
GPSM2_394_406,Pos24h_PosCTL,0.06100523847779282
GPSM2_394_406,Pos30m_PosCTL,1.1129895430006371
